Name,c_r_e,c_w_e_lower,c_w_e_normal,c_w_e_upper
Anhui,0.588,0.327,0.711,1.241
Beijing,0.536,0.604,0.866,1.072
Chongqing,0.536,0.368,0.769,1.190
Fujian,0.674,0.411,0.681,1.041
Gansu,0.514,0.582,0.655,0.729
Guangdong,0.704,0.308,0.776,1.601
Guangxi,0.605,0.506,0.764,1.177
Guizhou,0.499,0.350,0.619,0.888
Hainan,0.644,0.383,0.861,1.463
Hebei,0.576,0.358,0.612,0.992
Heilongjiang,0.514,0.403,0.771,1.249
Henan,0.609,0.339,0.724,1.228
Hubei,0.590,0.380,0.788,1.407
Hunan,0.628,0.344,0.782,1.323
Inner Mongolia,0.428,0.394,0.654,1.047
Jiangsu,0.572,0.338,0.749,1.295
Jiangxi,0.626,0.370,0.710,1.152
Jilin,0.530,0.434,0.814,1.422
Liaoning,0.513,0.378,0.711,1.294
Ningxia,0.521,0.371,0.492,0.663
Qinghai,0.457,0.305,0.483,0.786
Shaanxi,0.518,0.349,0.658,1.021
Shandong,0.563,0.302,0.740,1.214
Shanghai,0.640,0.469,0.836,0.989
Shanxi,0.504,0.370,0.624,0.910
Sichuan,0.565,0.318,0.734,1.151
Tianjin,0.501,0.424,0.807,1.161
Xinjiang,0.429,0.233,0.439,0.693
Yunnan,0.469,0.272,0.475,0.680
Zhejiang,0.582,0.407,0.804,1.359
